transaction_id,date,type,total_balance,amount,remaining_balance,remarks,user_id,recipient,transaction_mode
3S0OOQ,5/12/2025,Bill Payment,24531,13695,10836,water bill payment,aryan,,P2M
12KZY2,5/19/2025,Mobile Recharge,34748,3280,31468,recharged ntc number,aryan,,P2M
GO28JT,5/20/2025,Mobile Recharge,58033,8428,49605,monthly recharge,aryan,,P2M
4SE4GO,5/12/2025,Bill Payment,10581,9308,1273,electricity bill paid,aryan,,P2M
GFH14R,5/13/2025,Bill Payment,60095,19538,40557,internet subscription renewal,aryan,,P2M
TPTMO9,5/17/2025,Bill Payment,21350,10451,10899,electricity bill paid,aryan,,P2M
F2NPSB,5/13/2025,Money Transfer,62751,15081,47670,shared restaurant bill,aryan,tanya,P2P
J8M5L4,5/14/2025,Mobile Recharge,12795,2602,10193,monthly recharge,aryan,,P2M
N1FOLM,5/17/2025,Mobile Recharge,30394,8842,21552,activated unlimited plan,aryan,,P2M
7R00WO,5/17/2025,Mobile Recharge,57660,15642,42018,bought mobile data pack,aryan,,P2M
IWIN3A,5/14/2025,Mobile Recharge,41146,395,40751,topped up prepaid number,aryan,,P2M
Y1GWXY,5/15/2025,Bill Payment,17262,11463,5799,internet subscription renewal,aryan,,P2M
2D5R64,5/14/2025,Bill Payment,19637,9043,10594,electricity bill paid,aryan,,P2M
E2BCZX,5/21/2025,Mobile Recharge,58355,11393,46962,boosted call minutes,aryan,,P2M
IJ28L5,5/14/2025,Money Transfer,42260,17579,24681,reimbursed travel expense,aryan,rohan,P2P
EH84QU,5/20/2025,Mobile Recharge,14846,2032,12814,monthly recharge,aryan,,P2M
PO3BVU,5/20/2025,Money Transfer,48157,17126,31031,paid for groceries,aryan,sahil,P2P
LEJERP,5/19/2025,Bill Payment,36722,5381,31341,paid municipal tax,aryan,,P2M
SC0GJX,5/16/2025,Mobile Recharge,46301,18344,27957,boosted call minutes,aryan,,P2M
72XZO7,5/13/2025,Money Transfer,58757,14609,44148,sent rent to landlord,aryan,aditya,P2P
GN5WUO,5/22/2025,Money Transfer,55783,10244,45539,sent rent to landlord,aryan,neha,P2P
PFLNBR,5/12/2025,Mobile Recharge,61696,19216,42480,quick top-up done,aryan,,P2M
8LNFQ3,5/21/2025,Money Transfer,33691,12515,21176,monthly allowance transfer,aryan,harry,P2P
BOTAEJ,5/16/2025,Money Transfer,63498,14221,49277,loan repayment to friend,aryan,shruti,P2P
1VNWNT,5/14/2025,Mobile Recharge,3155,2076,1079,activated unlimited plan,aryan,,P2M
NSJH7Y,5/16/2025,Mobile Recharge,31607,12882,18725,added mobile credit,aryan,,P2M
B7R1ZE,5/21/2025,Mobile Recharge,15260,9810,5450,boosted call minutes,aryan,,P2M
EUB9XX,5/17/2025,Bill Payment,12392,3200,9192,monthly EMI paid,aryan,,P2M
7E0LMC,5/17/2025,Money Transfer,23835,8111,15724,loan repayment to friend,aryan,priya,P2P
R82TT2,5/20/2025,Mobile Recharge,15355,5650,9705,boosted call minutes,aryan,,P2M
QV5NSP,5/20/2025,Mobile Recharge,60208,16936,43272,recharged ntc number,aryan,,P2M
BBJTUI,5/18/2025,Money Transfer,59073,15745,43328,sent rent to landlord,aryan,sahil,P2P
RTWI47,5/14/2025,Money Transfer,24650,18066,6584,cash sent for urgent need,aryan,shruti,P2P
YP39BQ,5/16/2025,Bill Payment,38567,15498,23069,electricity bill paid,aryan,,P2M
8XP883,5/12/2025,Mobile Recharge,40711,14806,25905,monthly recharge,aryan,,P2M
F087EF,5/14/2025,Money Transfer,11461,1034,10427,paid for groceries,aryan,sahil,P2P
XLFMGG,5/20/2025,Bill Payment,38253,2601,35652,settled credit card bill,aryan,,P2M
GSN5BS,5/16/2025,Money Transfer,62831,12940,49891,transferred money to sibling,aryan,john,P2P
ITHCHV,5/17/2025,Mobile Recharge,10051,5457,4594,topped up prepaid number,aryan,,P2M
2B922D,5/21/2025,Mobile Recharge,20828,8128,12700,topped up prepaid number,aryan,,P2M
P7ELW3,5/13/2025,Bill Payment,30643,1787,28856,gas connection fee,aryan,,P2M
TUGWSU,5/14/2025,Money Transfer,35120,17207,17913,gifted cash for birthday,aryan,divya,P2P
FCHT53,5/20/2025,Bill Payment,52355,13387,38968,internet subscription renewal,aryan,,P2M
WBA7N1,5/22/2025,Mobile Recharge,11045,4217,6828,recharged ntc number,aryan,,P2M
8P767Z,5/17/2025,Mobile Recharge,33990,13062,20928,activated unlimited plan,aryan,,P2M
TRGWLJ,5/19/2025,Bill Payment,18767,13862,4905,electricity bill paid,aryan,,P2M
A4PA4N,5/20/2025,Bill Payment,56001,9579,46422,settled credit card bill,aryan,,P2M
KW6QUU,5/15/2025,Money Transfer,37100,1462,35638,cash sent for urgent need,aryan,harry,P2P
L2KTE0,5/16/2025,Bill Payment,20145,15710,4435,internet subscription renewal,aryan,,P2M
ZFX0GY,5/17/2025,Bill Payment,19716,13076,6640,water bill payment,aryan,,P2M
Z5MH1P,5/19/2025,Bill Payment,13361,11018,2343,monthly EMI paid,aryan,,P2M
1N9VFX,5/20/2025,Bill Payment,24005,9848,14157,monthly EMI paid,aryan,,P2M
PJ3JSZ,5/18/2025,Money Transfer,28238,15560,12678,cash sent for urgent need,aryan,tanya,P2P
XL21R8,5/22/2025,Mobile Recharge,35474,1456,34018,bought mobile data pack,aryan,,P2M
IEAY0B,5/15/2025,Money Transfer,9282,7387,1895,shared restaurant bill,aryan,neha,P2P
6QVES9,5/13/2025,Money Transfer,18080,10809,7271,reimbursed travel expense,aryan,neha,P2P
7HRIEL,5/16/2025,Mobile Recharge,28815,14423,14392,boosted call minutes,aryan,,P2M
C99Z2X,5/22/2025,Bill Payment,22376,4664,17712,broadband renewal fee,aryan,,P2M
2J3EY3,5/17/2025,Mobile Recharge,52352,12693,39659,boosted call minutes,aryan,,P2M
U1WX8S,5/18/2025,Money Transfer,40676,10368,30308,cash sent for urgent need,aryan,aditya,P2P
IVL4WK,5/16/2025,Money Transfer,13602,10869,2733,paid for groceries,aryan,priya,P2P
YN9B1G,5/21/2025,Mobile Recharge,26382,14071,12311,added mobile credit,aryan,,P2M
QA1FQN,5/22/2025,Bill Payment,15725,8133,7592,paid municipal tax,aryan,,P2M
JG3EEY,5/13/2025,Bill Payment,49541,17429,32112,settled credit card bill,aryan,,P2M
6B7XJA,5/20/2025,Bill Payment,28278,7817,20461,electricity bill paid,aryan,,P2M
4H12Z9,5/22/2025,Money Transfer,48325,4560,43765,sent rent to landlord,aryan,rohan,P2P
63RMIL,12/13/2024,Bill Payment,52103,17631,34472,municipal tax,rahul,,P2M
KYKLNI,11/22/2024,Mobile Recharge,21528,253,21275,data pack,aryan,,P2M
K45KST,10/6/2024,Mobile Recharge,14268,488,13780,international call pack,sita,,P2M
N0HZ98,5/17/2024,Money Transfer,40124,14830,25294,payment for groceries,sita,ravi,P2P
DWXWFJ,9/5/2024,Mobile Recharge,8683,266,8417,combo pack,john,,P2M
M8FZLF,3/12/2025,Mobile Recharge,11535,82,11453,balance refill,john,,P2M
C725T2,10/5/2024,Bill Payment,23342,14069,9273,electricity bill,aryan,,P2M
H44177,7/25/2024,Money Transfer,55276,10827,44449,returned borrowed money,john,ravi,P2P
P679ZV,9/25/2024,Money Transfer,56426,10925,45501,emergency cash,aryan,sita,P2P
BSUXUI,3/6/2025,Money Transfer,19769,17656,2113,payment for groceries,john,arjun,P2P
MBWZ4C,10/16/2024,Money Transfer,22730,16375,6355,college fees,rahul,rahul,P2P
B09Y4C,1/19/2025,Money Transfer,39021,17218,21803,loan repayment,rahul,rahul,P2P
UK3U6F,8/28/2024,Money Transfer,30934,11610,19324,shared rent,john,ravi,P2P
PZTMCR,4/19/2025,Money Transfer,42281,11126,31155,emergency cash,aryan,arjun,P2P
ED1OQ8,11/14/2024,Mobile Recharge,39262,272,38990,international call pack,mira,,P2M
GDYXQG,7/14/2024,Bill Payment,47973,10051,37922,electricity bill,john,,P2M
QV4TZ6,1/22/2025,Money Transfer,60219,17959,42260,college fees,aryan,mira,P2P
MLABMY,2/27/2025,Mobile Recharge,21418,66,21352,combo pack,mira,,P2M
4YMT7Q,12/11/2024,Mobile Recharge,45887,442,45445,international call pack,rahul,,P2M
JWP9WI,11/12/2024,Mobile Recharge,20328,435,19893,recharged ncell,john,,P2M
0L9PQD,11/5/2024,Mobile Recharge,39472,126,39346,monthly mobile recharge,john,,P2M
B5SRGM,7/2/2024,Bill Payment,39330,7672,31658,monthly bill,sita,,P2M
BVTXEV,2/7/2025,Bill Payment,6662,1801,4861,TV subscription,mira,,P2M
0HK349,1/5/2025,Bill Payment,46605,8107,38498,internet recharge,rahul,,P2M
BS1AJW,5/10/2025,Mobile Recharge,16659,491,16168,roaming pack,rahul,,P2M
3U44BI,5/2/2025,Money Transfer,60144,15205,44939,transfer to friend,sita,sita,P2P
IB2EK5,2/11/2025,Money Transfer,26111,17855,8256,transfer to friend,sita,neha,P2P
AIJOD6,8/1/2024,Mobile Recharge,13250,386,12864,international call pack,rahul,,P2M
2OOKIS,11/5/2024,Money Transfer,37612,8093,29519,medical expense,sita,john,P2P
BPBXNB,12/10/2024,Money Transfer,13233,572,12661,emergency cash,john,rahul,P2P
GKLZ9S,5/11/2025,Mobile Recharge,33820,195,33625,top-up ntc,sita,,P2M
ZHJZB4,3/4/2025,Bill Payment,29757,6602,23155,online subscription,rahul,,P2M
360XJM,5/1/2025,Bill Payment,58578,13043,45535,insurance premium,john,,P2M
ZEWN9L,6/9/2024,Bill Payment,28816,14395,14421,cable bill,mira,,P2M
R8RN65,3/17/2025,Mobile Recharge,47294,51,47243,roaming pack,aryan,,P2M
8GALJM,10/15/2024,Mobile Recharge,14332,331,14001,top-up ntc,rahul,,P2M
22NBOP,1/5/2025,Bill Payment,13260,2907,10353,TV subscription,sita,,P2M
JWKAME,8/1/2024,Bill Payment,39880,8920,30960,internet recharge,sita,,P2M
84TP0I,11/4/2024,Bill Payment,22902,17612,5290,municipal tax,john,,P2M
B12PDV,4/8/2025,Bill Payment,64037,15295,48742,house rent payment,aryan,,P2M
RRCA1X,5/15/2024,Bill Payment,13341,6523,6818,cable bill,mira,,P2M
G4J1J4,2/17/2025,Mobile Recharge,21552,182,21370,monthly mobile recharge,rahul,,P2M
ND7QQZ,5/22/2024,Mobile Recharge,43172,313,42859,top-up ntc,john,,P2M
29M75X,1/21/2025,Bill Payment,37384,8064,29320,internet recharge,aryan,,P2M
19GRO2,1/5/2025,Mobile Recharge,27981,369,27612,voice call pack,aryan,,P2M
VZJN71,1/30/2025,Money Transfer,58547,17188,41359,loan repayment,sita,ravi,P2P
W3JFJ1,1/9/2025,Bill Payment,31586,4895,26691,online subscription,mira,,P2M
CKBIUJ,10/20/2024,Mobile Recharge,13485,134,13351,data pack,sita,,P2M
HRIGTF,2/6/2025,Mobile Recharge,40738,402,40336,roaming pack,sita,,P2M
A9IGK9,4/26/2025,Bill Payment,31179,779,30400,TV subscription,aryan,,P2M
GXMWVX,6/30/2024,Bill Payment,26626,18810,7816,online subscription,rahul,,P2M
D3OB9I,7/8/2024,Mobile Recharge,14475,498,13977,data pack,sita,,P2M
40QPFX,6/26/2024,Mobile Recharge,33315,258,33057,balance refill,sita,,P2M
TS94D8,12/15/2024,Money Transfer,48649,15855,32794,college fees,aryan,arjun,P2P
HPG97E,11/10/2024,Mobile Recharge,23609,383,23226,data pack,aryan,,P2M
USM4VZ,6/21/2024,Bill Payment,39436,5742,33694,insurance premium,john,,P2M
SSB5W3,3/29/2025,Money Transfer,17692,3053,14639,transfer to friend,aryan,rahul,P2P
DJQH0I,4/26/2025,Bill Payment,40249,4137,36112,electricity bill,sita,,P2M
7PNIRR,10/3/2024,Bill Payment,66237,17045,49192,water utility,sita,,P2M
BE7KDC,5/20/2024,Bill Payment,22615,8233,14382,insurance premium,rahul,,P2M
L2U6OH,1/18/2025,Money Transfer,10932,4217,6715,transfer to friend,mira,arjun,P2P
7B689N,4/6/2025,Money Transfer,47068,19137,27931,birthday gift,rahul,sita,P2P
2WOWGY,11/29/2024,Mobile Recharge,17433,81,17352,recharged ncell,rahul,,P2M
BTAM33,4/29/2025,Mobile Recharge,40959,316,40643,international call pack,rahul,,P2M
Q7HA1Z,8/31/2024,Mobile Recharge,48510,411,48099,balance refill,john,,P2M
ZPJOVU,5/25/2024,Mobile Recharge,32794,455,32339,top-up ntc,rahul,,P2M
77CNYU,12/26/2024,Mobile Recharge,41431,50,41381,data pack,rahul,,P2M
2EGE3S,4/9/2025,Bill Payment,39285,18949,20336,municipal tax,mira,,P2M
85P2XV,3/13/2025,Money Transfer,41569,808,40761,emergency cash,mira,rahul,P2P
5HYSFR,12/15/2024,Mobile Recharge,47542,453,47089,roaming pack,sita,,P2M
RO1ZJO,11/4/2024,Bill Payment,54581,16670,37911,electricity bill,sita,,P2M
GF7HE4,12/17/2024,Mobile Recharge,40026,367,39659,international call pack,aryan,,P2M
3Y0PX0,4/27/2025,Bill Payment,61323,13317,48006,house rent payment,sita,,P2M
641BD5,3/17/2025,Money Transfer,31565,10466,21099,college fees,aryan,mira,P2P
GIKEER,9/24/2024,Bill Payment,45901,10800,35101,municipal tax,sita,,P2M
D5MW5N,10/15/2024,Bill Payment,18107,8466,9641,TV subscription,mira,,P2M
HZ15LW,3/22/2025,Mobile Recharge,10564,124,10440,top-up ntc,aryan,,P2M
8OC80Z,12/5/2024,Mobile Recharge,12760,382,12378,data pack,john,,P2M
SVZDGA,12/27/2024,Bill Payment,39337,15810,23527,TV subscription,mira,,P2M
1DFG0U,2/27/2025,Bill Payment,55101,14310,40791,electricity bill,rahul,,P2M
4ZF7VG,10/4/2024,Mobile Recharge,1746,378,1368,data pack,john,,P2M
EP6JBZ,8/28/2024,Mobile Recharge,7404,291,7113,roaming pack,rahul,,P2M
M5RUU4,3/10/2025,Mobile Recharge,29754,285,29469,monthly mobile recharge,rahul,,P2M
4BQ9SD,9/22/2024,Money Transfer,34319,16477,17842,transfer to friend,john,arjun,P2P
A8RU9A,5/10/2025,Mobile Recharge,23821,321,23500,recharged ncell,rahul,,P2M
PN84A2,4/18/2025,Money Transfer,22609,8403,14206,payment for groceries,rahul,neha,P2P
G7ORGD,2/25/2025,Mobile Recharge,20586,435,20151,data pack,john,,P2M
AFX3ED,9/6/2024,Mobile Recharge,16300,433,15867,data pack,rahul,,P2M
T6V2M6,5/17/2024,Bill Payment,22012,11964,10048,electricity bill,sita,,P2M
KPYSZO,2/18/2025,Bill Payment,18989,5643,13346,house rent payment,sita,,P2M
6YP7PD,10/16/2024,Bill Payment,12483,10729,1754,internet recharge,aryan,,P2M
2N9CEM,11/1/2024,Money Transfer,47747,18558,29189,college fees,sita,neha,P2P
IQ8CCA,12/28/2024,Bill Payment,14602,8469,6133,house rent payment,sita,,P2M
N9MMRJ,8/19/2024,Money Transfer,10163,8776,1387,college fees,mira,sita,P2P
HMDJ1G,9/6/2024,Bill Payment,12401,10494,1907,water utility,rahul,,P2M
TSVEFC,2/18/2025,Money Transfer,59004,17854,41150,returned borrowed money,rahul,john,P2P
OBU4Y4,6/30/2024,Bill Payment,47662,14271,33391,water utility,aryan,,P2M
UCS42G,12/20/2024,Mobile Recharge,46309,124,46185,roaming pack,mira,,P2M
S6GAUI,2/24/2025,Bill Payment,51369,6338,45031,internet recharge,sita,,P2M
3B4RYS,7/8/2024,Bill Payment,7425,3074,4351,TV subscription,rahul,,P2M
U1N00G,7/20/2024,Mobile Recharge,2191,182,2009,voice call pack,aryan,,P2M
EGMUUP,5/19/2024,Money Transfer,54772,10390,44382,college fees,mira,john,P2P
MPL11K,8/1/2024,Money Transfer,40029,11805,28224,transfer to friend,rahul,rahul,P2P
J84YLZ,12/1/2024,Money Transfer,20043,1924,18119,medical expense,john,mira,P2P
199C5P,3/11/2025,Money Transfer,4640,3083,1557,returned borrowed money,sita,sita,P2P
5LEE8Y,8/29/2024,Mobile Recharge,31495,366,31129,voice call pack,john,,P2M
NNV2K9,9/29/2024,Mobile Recharge,31325,230,31095,monthly mobile recharge,sita,,P2M
PG9WX3,2/9/2025,Mobile Recharge,19513,90,19423,SMS bundle,sita,,P2M
99FEUW,10/8/2024,Mobile Recharge,44819,195,44624,SMS bundle,john,,P2M
8N9KWG,4/17/2025,Money Transfer,9913,5971,3942,transfer to friend,john,sita,P2P
PYY6ZU,10/14/2024,Money Transfer,14949,12581,2368,college fees,john,sita,P2P
F6NQ3P,10/4/2024,Money Transfer,58822,16215,42607,emergency cash,john,john,P2P
H74B4X,5/1/2025,Mobile Recharge,17822,423,17399,top-up ntc,rahul,,P2M
Q40T59,9/15/2024,Money Transfer,14428,1305,13123,birthday gift,mira,arjun,P2P
J30265,10/6/2024,Money Transfer,28901,18118,10783,medical expense,mira,arjun,P2P
2ZSHLS,10/31/2024,Bill Payment,42291,13480,28811,internet recharge,sita,,P2M
8LSTZT,11/26/2024,Mobile Recharge,14264,139,14125,balance refill,mira,,P2M
VID5PX,10/22/2024,Mobile Recharge,46916,229,46687,SMS bundle,rahul,,P2M
SLPUGR,12/13/2024,Bill Payment,36756,19388,17368,insurance premium,mira,,P2M
4ZSXID,1/22/2025,Money Transfer,51948,16688,35260,loan repayment,john,arjun,P2P
DH8HBU,7/19/2024,Money Transfer,35842,3963,31879,medical expense,mira,neha,P2P
UFCUJZ,11/21/2024,Mobile Recharge,28932,242,28690,top-up ntc,rahul,,P2M
D9EXLA,2/21/2025,Mobile Recharge,27260,426,26834,roaming pack,mira,,P2M
SENU25,11/16/2024,Mobile Recharge,35442,487,34955,monthly mobile recharge,aryan,,P2M
K3SCM2,9/11/2024,Mobile Recharge,28294,460,27834,roaming pack,sita,,P2M
MY2NAA,10/29/2024,Money Transfer,13601,3893,9708,emergency cash,sita,john,P2P
YK9OI1,9/19/2024,Mobile Recharge,42233,212,42021,voice call pack,mira,,P2M
MRP331,6/8/2024,Mobile Recharge,31546,210,31336,balance refill,aryan,,P2M
Z8BCDP,5/29/2024,Money Transfer,28517,1443,27074,returned borrowed money,john,john,P2P
MEPWCL,4/3/2025,Bill Payment,12837,2124,10713,municipal tax,sita,,P2M
7L132D,7/9/2024,Bill Payment,26622,18586,8036,TV subscription,john,,P2M
4YJWCD,12/27/2024,Bill Payment,46757,3622,43135,insurance premium,mira,,P2M
DNH8Y8,10/13/2024,Money Transfer,21350,6375,14975,birthday gift,mira,arjun,P2P
G94UAL,12/19/2024,Bill Payment,28328,818,27510,municipal tax,sita,,P2M
LKCRPE,11/2/2024,Mobile Recharge,19370,280,19090,recharged ncell,aryan,,P2M
QR8S1A,11/6/2024,Bill Payment,66830,18842,47988,TV subscription,aryan,,P2M
PB9YLX,7/20/2024,Bill Payment,34612,13679,20933,monthly bill,mira,,P2M
TXBY3D,2/27/2025,Money Transfer,47643,4159,43484,college fees,mira,arjun,P2P
3LNFR5,11/4/2024,Bill Payment,48132,2031,46101,municipal tax,rahul,,P2M
N75AB4,7/22/2024,Mobile Recharge,30029,254,29775,combo pack,aryan,,P2M
Q6NQKK,3/23/2025,Mobile Recharge,48034,64,47970,SMS bundle,mira,,P2M
WDVACK,5/11/2025,Mobile Recharge,28174,100,28074,top-up ntc,sita,,P2M
DSK2RZ,8/27/2024,Money Transfer,20900,9053,11847,college fees,rahul,arjun,P2P
T9WPUY,7/14/2024,Money Transfer,48299,10093,38206,medical expense,aryan,neha,P2P
9SCL66,1/6/2025,Money Transfer,31429,6585,24844,college fees,sita,ravi,P2P
TDWJQZ,9/29/2024,Bill Payment,62975,14472,48503,monthly bill,mira,,P2M
6PH4AO,1/14/2025,Mobile Recharge,27281,412,26869,voice call pack,sita,,P2M
TMSB4I,1/4/2025,Money Transfer,3299,320,2979,birthday gift,mira,john,P2P
NJKTGV,3/6/2025,Mobile Recharge,15186,303,14883,balance refill,mira,,P2M
CFDG5Q,4/13/2025,Bill Payment,27381,8415,18966,online subscription,john,,P2M
YVVU6N,12/23/2024,Bill Payment,14189,6782,7407,insurance premium,sita,,P2M
LZ4ENF,7/6/2024,Mobile Recharge,36936,163,36773,voice call pack,sita,,P2M
6ZQO3T,11/11/2024,Mobile Recharge,37102,305,36797,balance refill,john,,P2M
TB3RT7,7/10/2024,Bill Payment,48598,6009,42589,online subscription,john,,P2M
2A7L7Q,2/14/2025,Bill Payment,18903,9395,9508,municipal tax,sita,,P2M
6NLM43,11/5/2024,Mobile Recharge,15632,285,15347,monthly mobile recharge,sita,,P2M
UZI6HG,4/2/2025,Mobile Recharge,3164,401,2763,monthly mobile recharge,rahul,,P2M
UJZL88,6/13/2024,Bill Payment,18859,17508,1351,monthly bill,aryan,,P2M
NTDSLJ,11/21/2024,Mobile Recharge,7795,352,7443,international call pack,john,,P2M
ZD0UIE,1/14/2025,Mobile Recharge,4036,427,3609,top-up ntc,rahul,,P2M
6H8KGW,4/5/2025,Bill Payment,65694,15952,49742,online subscription,sita,,P2M
DC92DH,5/3/2025,Mobile Recharge,42162,263,41899,combo pack,sita,,P2M
MOL5O8,8/30/2024,Bill Payment,56390,17403,38987,municipal tax,sita,,P2M
5C4OWR,8/13/2024,Money Transfer,24715,5991,18724,loan repayment,rahul,ravi,P2P
JRJ1WN,4/19/2025,Money Transfer,41969,8920,33049,returned borrowed money,john,mira,P2P
4PSG9K,8/8/2024,Money Transfer,34200,1861,32339,college fees,john,sita,P2P
EW5TLJ,11/25/2024,Money Transfer,25492,12226,13266,sent for dinner,sita,ravi,P2P
X3VGPW,8/16/2024,Bill Payment,10505,575,9930,municipal tax,sita,,P2M
I8XNJT,4/11/2025,Bill Payment,34570,18786,15784,municipal tax,aryan,,P2M
AISAAL,5/24/2024,Bill Payment,47104,8483,38621,water utility,mira,,P2M
OLROSQ,9/14/2024,Bill Payment,33358,19470,13888,internet recharge,mira,,P2M
UM6BPJ,2/4/2025,Bill Payment,31899,1957,29942,monthly bill,aryan,,P2M
9F2GDJ,7/30/2024,Money Transfer,38947,5562,33385,returned borrowed money,aryan,ravi,P2P
GTUWGW,9/11/2024,Money Transfer,53284,9141,44143,transfer to friend,rahul,mira,P2P
5HXK3N,2/27/2025,Bill Payment,31968,5874,26094,house rent payment,rahul,,P2M
14NMAZ,2/20/2025,Mobile Recharge,16210,144,16066,monthly mobile recharge,mira,,P2M
SQS8KE,5/16/2024,Mobile Recharge,23201,131,23070,monthly mobile recharge,mira,,P2M
ZAXPIM,12/16/2024,Bill Payment,34416,11153,23263,internet recharge,rahul,,P2M
8SLPZL,8/13/2024,Mobile Recharge,40561,174,40387,balance refill,sita,,P2M
N8D78X,8/20/2024,Bill Payment,34643,3989,30654,monthly bill,rahul,,P2M
Y2QDDG,11/21/2024,Money Transfer,41432,14894,26538,loan repayment,john,arjun,P2P
CMZNDX,1/19/2025,Mobile Recharge,18021,119,17902,recharged ncell,rahul,,P2M
IK45LZ,3/30/2025,Bill Payment,46632,8197,38435,insurance premium,aryan,,P2M
OQ3DE0,11/6/2024,Bill Payment,20762,3949,16813,electricity bill,mira,,P2M
GCDCRJ,10/21/2024,Money Transfer,41319,17944,23375,sent for dinner,john,rahul,P2P
SA0NTP,1/10/2025,Bill Payment,24757,16615,8142,internet recharge,sita,,P2M
DIZM64,7/27/2024,Mobile Recharge,17221,100,17121,monthly mobile recharge,rahul,,P2M
PC8N9L,11/8/2024,Bill Payment,43312,711,42601,cable bill,aryan,,P2M
